date,close
2015-09-16,40832.7139
2015-09-17,40851.6976
2015-09-18,40214.9041
2015-09-21,40346.6248
2015-09-22,39806.2405
2015-09-23,39728.6286
2015-09-24,39533.8757
2015-09-25,39400.9413
2015-09-28,38246.8451
2015-09-29,38284.7429
2015-09-30,39044.2907
2015-10-01,39146.0263
2015-10-02,39738.2889
2015-10-05,40375.4915
2015-10-06,40044.5389
2015-10-07,40389.6701
2015-10-08,40794.1459
2015-10-09,40861.9666
2015-10-12,40989.914600000004
2015-10-13,40648.3198
2015-10-14,40373.162599999996
2015-10-15,40919.6239
2015-10-16,41061.9947
2015-10-19,41161.8209
2015-10-20,41073.8193
2015-10-21,40784.0951
2015-10-22,41317.4202
2015-10-23,41614.1939
2015-10-26,41692.0793
2015-10-27,41597.073300000004
2015-10-28,42009.3735
2015-10-29,42082.5874
2015-10-30,42023.0785
2015-11-02,42502.124
2015-11-03,42516.4877
2015-11-04,42414.7315
2015-11-05,42441.1023
2015-11-06,42294.6934
2015-11-09,41779.2468
2015-11-10,41956.4293
2015-11-11,41837.5058
2015-11-12,41222.0041
2015-11-13,40783.798
2015-11-16,41364.4337
2015-11-17,41331.541
2015-11-18,41989.0174
2015-11-19,41939.7304
2015-11-20,42095.6867
2015-11-23,42114.0846
2015-11-24,42101.8913
2015-11-25,42183.6596
2015-11-27,42251.5982
2015-11-30,42020.9741
2015-12-01,42465.652799999996
2015-12-02,41977.9185
2015-12-03,41333.1471
2015-12-04,42086.0469
2015-12-07,41773.897
2015-12-08,41631.6725
2015-12-09,41236.1995
2015-12-10,41322.7154
2015-12-11,40573.9736
2015-12-14,40707.3113
2015-12-15,41106.2749
2015-12-16,41676.6353
2015-12-17,41072.6273
2015-12-18,40445.5161
2015-12-21,40701.5682
2015-12-22,41004.9665
2015-12-23,41485.5442
2015-12-24,41433.608
2015-12-28,41421.8166
2015-12-29,41851.372
2015-12-30,41564.9051
2015-12-31,41190.5822
2016-01-04,40502.9315
2016-01-05,40709.365
2016-01-06,40171.3564
2016-01-07,39310.9776
2016-01-08,38816.0919
2016-01-11,38753.8732
2016-01-12,39034.1413
2016-01-13,38007.9781
2016-01-14,38561.9629
2016-01-15,37857.3532
2016-01-19,37859.1704
2016-01-20,37507.195
2016-01-21,37640.6078
2016-01-22,38426.8711
2016-01-25,37822.0517
2016-01-26,38369.0475
2016-01-27,37897.8767
2016-01-28,37934.4993
2016-01-29,38853.1372
2016-02-01,38946.4359
2016-02-02,38228.2068
2016-02-03,38326.083
2016-02-04,38392.0251
2016-02-05,37539.476
2016-02-08,36735.172
2016-02-09,36717.5425
2016-02-10,36880.3425
2016-02-11,36475.4666
2016-02-12,37179.6553
2016-02-16,37917.4324
2016-02-17,38660.7834
2016-02-18,38485.2828
2016-02-19,38587.8569
2016-02-22,39158.4078
2016-02-23,38740.2234
2016-02-24,38919.8291
2016-02-25,39359.7228
2016-02-26,39351.8314
2016-02-29,39070.9571
